"Country Name","Baseline","Current"
"St. Vincent and the Grenadines","10440","10110"
"Venezuela, RB","17900","17490"
"Vietnam","5070","4800"
"Vanuatu","2870","2820"
"World","14337.7197014663","13841.7986943988"
"Samoa","5560","5530"
"Yemen, Rep.","3820","3690"
"South Africa","12240","11970"
"Congo, Dem. Rep.","740","710"
"Zambia","3810","3690"
"Zimbabwe","1690","1640"
